rpa,deg,omega,sigma,u0,ustar,cost
0.166666666666667,10,3.11421720940422,0.0029823333768344,0.997555359003634,8.00303198540759,8.047150401928127e-19
0.166666666666667,15,3.09670527580052,0.0067331509010138,0.995839661388333,7.99990147240375,4.338800887303613e-18
0.166666666666667,20,3.079449711151,0.0119955521331292,0.993294435390733,7.98803746332058,6.954990805036733e-17
0.166666666666667,25,3.06151724113631,0.0187551125288107,0.990424753759116,7.96618107109013,2.513971857515659e-15
0.166666666666667,30,3.04481851727486,0.0269153777114162,0.986812723675459,7.93140969229227,5.722693811006688e-18
0.166666666666667,35,3.02899177740296,0.0363633337446816,0.982798369499927,7.88241701993483,2.665221119332201e-15
0.166666666666667,40,3.01438582409543,0.0469208664910177,0.978476743947508,7.81749698168658,1.6270927736882855e-16
0.166666666666667,45,3.00112602553209,0.0583634653472287,0.97401714769681,7.7351527267509,1.7255421170811368e-15
0.166666666666667,50,2.98983012972589,0.0703815508563548,0.969471046353632,7.63364481360342,4.025130078517652e-15
0.166666666666667,55,2.9804856218536,0.0826443606812828,0.965045890070996,7.51173759325785,2.3459231649042553e-16
0.166666666666667,60,2.97391730217436,0.0947018140133919,0.960728090105371,7.3678552554531,1.8666957978171362e-19
0.166666666666667,65,2.96898784206138,0.106255474025089,0.95705966869646,7.2017000210357,2.4512332688124066e-17
0.166666666666667,70,2.96664071966762,0.116784747192738,0.953976209300819,7.01207844884963,7.923675818385071e-18
0.166666666666667,75,2.96698613372503,0.125832035824363,0.951612790770182,6.79867919046781,8.52233706925556e-17
0.166666666666667,105,3.02982365620548,0.127702653569275,0.958251655673286,5.11960187313314,2.285995210888789e-19
0.166666666666667,110,3.0489760977182,0.117919828379227,0.962899947721597,4.82698392812342,2.3390151535813924e-16
0.166666666666667,115,3.06904512435881,0.105972114755721,0.968219197186358,4.55922227693393,1.6783828258362784e-17
0.166666666666667,120,3.0886073709584,0.092649951148967,0.974004147341248,4.32811263141944,1.0566008560016244e-16
0.166666666666667,125,3.10702987663488,0.0787434737035058,0.979807309396355,4.14218153133111,6.728591218552366e-19
0.166666666666667,130,3.12239425098045,0.0651111399188667,0.985647362372903,4.00317540104994,3.7603658776966926e-16
0.1,5,3.13734701475009,0.0004259071685065,0.998676943249398,11.996327721043,3.420934303307227e-18
0.1,10,3.12725584634502,0.0016785327139787,0.998121435928533,11.9901721379012,1.8637133056861383e-19
0.1,15,3.11671586638437,0.0037615397018045,0.997195424518131,11.9754599082594,3.544496851130085e-18
0.1,20,3.10610167067046,0.0066527151822961,0.995874327931951,11.9503814598823,7.26615117963063e-17
0.1,25,3.09582757573633,0.0103105232499006,0.994168269394147,11.9134155023859,8.4132977428600855e-16
0.1,30,3.085970758837536,0.0145891020112142,0.9921859343208044,11.86345889060406,3.728432627234282e-16
0.1,35,3.07629060716513,0.0196557674209405,0.990056388606335,11.7995172204629,4.971251058645671e-15
